Son Hai Anh Nguyen,2026-09-13T21:12:28+10:00,Remove unrelated files from Area1_Prototype2,
Son Hai Anh Nguyen,2026-09-13T21:07:02+10:00,Add 'Prototype-2/' from commit '723e0ce94a9c138f04f5afb2f9ac68d951d8cdf9',"git-subtree-dir: Prototype-2
git-subtree-mainline: 7eb22855286ab549493a08a23cd888802e0d02b1
git-subtree-split: 723e0ce94a9c138f04f5afb2f9ac68d951d8cdf9
"
Son Hai Anh Nguyen,2026-09-13T20:14:15+10:00,Add 'Prototype-1/' from commit '6857ed23429499c96515b41a13d849f52a01e680',"git-subtree-dir: Prototype-1
git-subtree-mainline: 7395f9fab2bba7d56fa667d2047a4a90d1f7dddb
git-subtree-split: 6857ed23429499c96515b41a13d849f52a01e680
"
Son Hai Anh Nguyen,2026-09-01T18:23:55+10:00,fix css layout,
Son Hai Anh Nguyen,2026-09-01T18:20:35+10:00,Repair Mapping Prototype 2,"Repair Mapping Prototype 2 with a visible draggable flower and continuous C3–C6 vertical pitch control. Fix malformed HTML, CSS, and JavaScript; restore Tone.js audio smoothing, and remove unused Prototype 1 zone code.
"
Son Hai Anh Nguyen,2026-09-01T18:06:25+10:00,Restore and fix draggable button,"Restore the draggable flower in Mapping Prototype 1 and repair broken HTML and JavaScript. Preserve Tone.js playback, zone detection, random note selection, and octave 2–6 pitch ranges.
"
Son Hai Anh Nguyen,2026-09-01T17:58:05+10:00,Rename style2.css to style.css,
Son Hai Anh Nguyen,2026-09-01T17:57:51+10:00,Rename script2.js to script.js,
Son Hai Anh Nguyen,2026-09-01T17:57:24+10:00,Rename index2.html to index.html,
Son Hai Anh Nguyen,2026-09-01T17:56:27+10:00,Add files via upload,
Son Hai Anh Nguyen,2026-09-01T17:30:55+10:00,Tone.js and expand zone notes,Updated zone notes to include more musical notes and refactored audio handling to use Tone.js for synthesis.
Son Hai Anh Nguyen,2026-09-01T17:21:43+10:00,Add Tone.js script to index.html,
Son Hai Anh Nguyen,2026-09-01T17:21:03+10:00,Clean up CSS by removing unused styles,Removed unused keyframes and image styles from CSS.
Son Hai Anh Nguyen,2026-09-01T17:17:03+10:00,Enhance dragging functionality and note retrieval,"A draggable object, which plays a random low, middle, or high note depending on whether it is dropped in the underground, garden, or sky zone. Refactor dragging logic and improve note selection."
Son Hai Anh Nguyen,2026-09-01T17:01:42+10:00,Rename index1.html to index.html,
Son Hai Anh Nguyen,2026-09-01T16:40:40+10:00,Add initial CSS styles for the prototype,"add all styles for the class, id"
Son Hai Anh Nguyen,2026-09-01T16:26:30+10:00,Remove unnecessary lines  & enable functions,Change pitch/sound depending on the zone/place the objects are placed. Enable objects as draggable
Son Hai Anh Nguyen,2026-09-01T16:24:32+10:00,Refactor index1.html,Removed unused elements and updated the structure of the HTML for the Garden of Sounds prototype.
